Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
BOST,BOSTON LETTUCE CELLO X12,22.5000 
BOSTHALF,( HALF / DEMI ) LAITUE BOSTON GEN-V  =6UNITS,11.4500 
BOUGA,BOUGATSA 7 DAYS (12X450G),61.7000 
BOUGALFA,(#118) BOUGATSA ALFA (6X450GR),30.7500 
BOURSIN,BOURSIN - GARLIC AND HERBS 3X150G,16.3500 
BOVRIL,BOVRIL - BEEF CONCENTRATE (2 X 4L),115.8500 
BOWLKRAFT16,KRAFT BOWL BASE 16OZ / 480ML / 500UN,39.0500 
BOWLKRAFT24,KRAFT BOWL BASE 26OZ / 750ML (300UN),39.9500 
BOWLKRAFT38,KRAFT BOWL BASE 36-38OZ / 1100ML (300UN),50.0500 
BOWLKRAFT8,KRAFT BOWL BASE 8OZ / 240ML (300UN),35.9500 
BOXAPPLESLIC,FROZEN SLICED APPLES (5X1KG),31.2500 
BOXCLUB,CLUB SANDWICH BOX TAKE OUT / 8X6.5X2.5 (250UN),59.0000 
BOXWONT,WONTON WRAPPER BOX (100 X 220G),289.7500 
BRAVMOZZ,MCCAIN DOUBLE BATTERED CHEESE STICK 2.27KG,53.2000 
BRAVOFF,7/16 ZARRA FF,31.7000 
BRAVOPITA,KONTOS PITA / PAIN GYRO 7 INCH 12X10,39.9000 
BRAVOR,ONION RINGS CAVENDISH,32.0500 
BRD107,(107) MICHE PUMPERNICKEL 555G,39.9500 
BRD108,(108) MICHE AU LEVAIN 600G,39.9500 
BRD118,(118) L'ART BLANC 14 INCH  SUBMARINE BREAD 180G,59.7000 
BRD122,BREAD (122) - MINI WHITE DINNER RLS,38.7500 
BRD129,(129) L'ART BLANC 7 INCH SUBMARINE BREAD 100G,43.7000 
BRD157,(157) LART BLANC 10 INCH SUBMARINE BREAD,52.5500 
BRD165,MINI PUMPERNICKEL 3 (45G),46.2000 
BRD166,MINI MULTIGRAIN BREAD 3 (45G),46.2000 
BRD700,MICHE 12 GRAINS (515G),39.0500 
BRD773,(773) BURGER POMME DE TERRE (85G),45.0500 
BRDCBURG,(780) C BURGER BREAD,43.7500 
BRDFLOUR,BREAD FLOUR 20KG,23.9500 
BREADWHITE,SUPERCLUB SANDWICH WHITE SLICED LOAF (3X675G),12.0000 
BRETONPCS,BRETON - CRAQUERS ,5.6500 
BREWFF,(BCI00256) FF BREWCITY LARGE CUT 6X5LBS,73.4500 
BREWOR,BREW CITY ONION RINGS,76.7000 
BRISK,BRISK - LEMON ICED TEA - THE GLACE AU CITRON (24 X 355ML),15.9500 
BRISKET,FROZEN BONELESS BEEF BRISKET (KG),20.9500 
BRISKETAAA,Brisket AAA (KG),18.5000 
BROC,BOX BROCCOLI SIZE 14,35.0000 
BROC14UN,PCS BROCCOLI #14,3.4500 
BROCCHINGAIL,GAILAN CHINESE BROCOLI (30LBS),68.8500 
